MACAddress,ip,NAS-IP-Address,NAS-Port-Id,Description,OUI,FailureReason,Vlan-ID
00:1A:E8:08:58:F8,10.108.216.31,SWLGEGV9A2,GigabitEthernet1/0/41,***DOT1X*** VLAN: 116 User: 001ae80858f8 Domain: VOICE +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:58:EF,10.108.216.156,SWLG01V271,GigabitEthernet1/0/27,***DOT1X*** VLAN: 116 User: 001ae80858ef Domain: VOICE +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
34:48:ED:75:4D:2C,,SWLG03V121,GigabitEthernet1/0/35,***DOT1X*** VLAN: 110 User: LTLGPRS1.auva1.global Domain: DATA +++ INACTIVE,Dell Inc.,15039 Rejected per authorization profile,110
00:1A:E8:08:59:BD,10.108.216.71,SWLGEGV9A2,GigabitEthernet1/0/36,***DOT1X*** VLAN: 116 User: 001ae80859bd Domain: VOICE +++ VLAN: 110 User: pclg7gla.auva1.global Domain: DATA +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:59:AC,10.108.216.59,SWLGEGV9A2,GigabitEthernet1/0/45,***DOT1X*** VLAN: 116 User: 001ae80859ac Domain: VOICE +++ VLAN: 110 User: PCLG1GCH.auva1.global Domain: DATA +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:59:D4,10.108.216.72,SWLGEGV9A2,GigabitEthernet1/0/18,***DOT1X*** VLAN: 116 User: 001ae80859d4 Domain: VOICE +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:59:D8,10.108.216.60,SWLGEGV9A1,GigabitEthernet1/0/23,***DOT1X*** VLAN: 116 User: 001ae80859d8 Domain: VOICE +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:59:D9,10.108.216.70,SWLGEGV9A1,GigabitEthernet1/0/43,***DOT1X*** VLAN: 116 User: 001ae80859d9 Domain: VOICE +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:59:94,10.108.216.5,SWLGEGV9A2,GigabitEthernet1/0/9,***DOT1X*** VLAN: 116 User: 001ae8085994 Domain: VOICE +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:D8:61:49:EA:19,10.108.211.23,SWLGEGV621,GigabitEthernet1/0/17,***DOT1X***,"Micro-Star INTL CO., LTD.",15039 Rejected per authorization profile,110
00:1A:E8:08:59:BE,10.108.216.57,SWLGEGV9A1,GigabitEthernet1/0/37,***DOT1X*** VLAN: 116 User: 001ae80859be Domain: VOICE +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:58:FE,10.108.216.52,SWLGEGV9A1,GigabitEthernet1/0/22,***DOT1X*** VLAN: 116 User: 001ae80858fe Domain: VOICE +++ VLAN: 110 User: LTLGKHE2.auva1.global Domain: DATA +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:59:9F,10.108.216.56,SWLGEGV9A1,GigabitEthernet1/0/27,***DOT1X*** VLAN: 116 User: 001ae808599f Domain: VOICE +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:5A:3E,10.108.216.37,SWLGEGV9A1,GigabitEthernet1/0/42,***DOT1X*** VLAN: 116 User: 001ae8085a3e Domain: VOICE +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:58:DE,10.108.216.25,SWLG01V271,GigabitEthernet1/0/17,***DOT1X*** VLAN: 116 User: 001ae80858de Domain: VOICE +++ VLAN: 110 User: LTLGSCF1.auva1.global Domain: DATA +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
00:1A:E8:08:59:93,10.108.216.4,SWLGEGV9A2,GigabitEthernet1/0/10,***DOT1X*** VLAN: 116 User: 001ae8085993 Domain: VOICE +++ VLAN: 110 User: PCLGKOV1.auva1.global Domain: DATA +++,Unify Software and Solutions GmbH & Co. KG,15039 Rejected per authorization profile,110
