MACAddress;EndPointPolicy;IdentityGroup;PortalUser.GuestType;Description
00:1A:E8:08:5A:43;;MAB_UG_Siemens;;
00:1A:E8:A4:51:F2;;MAB_UG_Siemens;;
00:1A:E8:08:5A:12;;MAB_UG_Siemens;;
00:1A:E8:08:5B:FA;;MAB_UG_Siemens;;
00:1A:E8:07:49:0E;;MAB_UG_Siemens;;
00:1A:E8:08:5B:FB;;MAB_UG_Siemens;;
00:1A:E8:08:5B:ED;;MAB_UG_Siemens;;
00:1A:E8:08:5A:36;;MAB_UG_Siemens;;
00:1A:E8:08:5A:01;;MAB_UG_Siemens;;
00:1A:E8:24:C4:E3;;MAB_UG_Siemens;;
00:1A:E8:A5:F3:FD;;MAB_UG_Siemens;;
00:1A:E8:07:49:0C;;MAB_UG_Siemens;;
00:1A:E8:08:5A:14;;MAB_UG_Siemens;;
00:1A:E8:08:59:FB;;MAB_UG_Siemens;;
00:1A:E8:08:5C:2A;;MAB_UG_Siemens;;
00:1A:E8:08:5C:1C;;MAB_UG_Siemens;;
00:1A:E8:08:5A:09;;MAB_UG_Siemens;;
00:1A:E8:96:0D:EA;;MAB_UG_Siemens;;
00:1A:E8:A5:F3:F1;;MAB_UG_Siemens;;
00:1A:E8:A5:F4:0D;;MAB_UG_Siemens;;
00:1A:E8:08:5C:40;;MAB_UG_Siemens;;
00:1A:E8:08:59:FD;;MAB_UG_Siemens;;
00:1A:E8:08:5C:06;;MAB_UG_Siemens;;
00:1A:E8:07:49:1A;;MAB_UG_Siemens;;
00:1A:E8:08:5C:1E;;MAB_UG_Siemens;;
00:1A:E8:08:5A:3A;;MAB_UG_Siemens;;
00:1A:E8:08:5A:1B;;MAB_UG_Siemens;;
00:1A:E8:08:5A:3F;;MAB_UG_Siemens;;
00:1A:E8:08:5A:03;;MAB_UG_Siemens;;
00:1A:E8:08:5C:1A;;MAB_UG_Siemens;;
00:1A:E8:94:D8:67;;MAB_UG_Siemens;;
00:1A:E8:08:5B:E7;;MAB_UG_Siemens;;
00:1A:E8:08:5C:10;;MAB_UG_Siemens;;
00:1A:E8:08:5A:0F;;MAB_UG_Siemens;;
00:1A:E8:07:7A:32;;MAB_UG_Siemens;;
00:1A:E8:08:5A:EE;;MAB_UG_Siemens;;
00:1A:E8:08:5C:4C;;MAB_UG_Siemens;;
00:1A:E8:08:5B:FC;;MAB_UG_Siemens;;
00:1A:E8:08:5A:15;;MAB_UG_Siemens;;
00:1A:E8:08:5A:0C;;MAB_UG_Siemens;;
00:1A:E8:08:5A:F5;;MAB_UG_Siemens;;
00:1A:E8:07:48:EA;;MAB_UG_Siemens;;
00:1A:E8:08:5A:11;;MAB_UG_Siemens;;
00:1A:E8:08:5A:35;;MAB_UG_Siemens;;
00:1A:E8:08:59:F8;;MAB_UG_Siemens;;
00:1A:E8:08:5A:04;;MAB_UG_Siemens;;
00:1A:E8:07:49:00;;MAB_UG_Siemens;;
00:1A:E8:07:48:FC;;MAB_UG_Siemens;;
00:1A:E8:08:5B:F7;;MAB_UG_Siemens;;
00:1A:E8:08:5C:24;;MAB_UG_Siemens;;
00:1A:E8:08:5C:0D;;MAB_UG_Siemens;;
00:1A:E8:08:5C:03;;MAB_UG_Siemens;;
00:1A:E8:96:0D:79;;MAB_UG_Siemens;;
00:1A:E8:08:5C:22;;MAB_UG_Siemens;;
00:1A:E8:08:5C:26;;MAB_UG_Siemens;;
00:1A:E8:08:5B:FE;;MAB_UG_Siemens;;
00:1A:E8:08:5C:25;;MAB_UG_Siemens;;
00:1A:E8:9B:6A:9A;;MAB_UG_Siemens;;
00:1A:E8:08:5C:21;;MAB_UG_Siemens;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
