at-vie-sw33149.bmaa.local;172.20.254.52
at-vie-sw11026.bmaa.local;172.20.254.22
at-vie-sw23057.bmaa.local;172.20.254.34
at-vie-sw22019.bmaa.local;172.20.254.30
at-vie-sw25079-1.bmaa.local;172.20.254.41
at-vie-sw12012.bmaa.local;172.20.254.23
at-vie-log-sw2.bmaa.local;172.20.254.17
at-vie-sw25026.bmaa.local;172.20.254.39
at-vie-sw11012.bmaa.local;172.20.254.21
at-vie-sw13050.bmaa.local;172.20.254.27
at-vie-sw24075.bmaa.local;172.20.254.38
at-vie-fa-sw1.bmaa.local;172.25.4.253
at-vie-sw23070.bmaa.local;172.20.254.35
at-vie-sw30056.bmaa.local;172.20.254.50
at-vie-sw14030.bmaa.local;172.20.254.29
at-vie-an-sw1.bmaa.local;172.25.2.253
at-vie-sw32100.bmaa.local;172.20.254.51
at-vie-log-sw1.bmaa.local;172.20.254.16
at-vie-sw13012.bmaa.local;172.20.254.25
at-vie-sw22054.bmaa.local;172.20.254.31
at-vie-sw24023.bmaa.local;172.20.254.36
at-vie-sw23018.bmaa.local;172.20.254.33
at-vie-sw13025.bmaa.local;172.20.254.26
at-vie-sw14017.bmaa.local;172.20.254.28
at-vie-bka-verm.bmaa.local;172.20.254.12
at-vie-sw10008.bmaa.local;172.20.254.20
at-vie-log-sw3.bmaa.local;172.20.254.101
at-vie-sw25079-2.bmaa.local;172.20.254.42
at-vie-sw24061.bmaa.local;172.20.254.37
at-vie-nag-sw01.bmaa.local;172.20.254.14
at-vie-bka-voice-sw.bmaa.local;172.20.254.10
at-vie-vid-sw1.bmaa.local;172.20.254.15
at-vie-sw22067.bmaa.local;172.20.254.32
at-vie-tv-sw1.bmaa.local;172.25.99.216
at-vie-sw12048-0.bmaa.local;172.20.254.46
at-vie-sw12048-2.bmaa.local;172.20.254.45
at-vie-sw25065.bmaa.local;172.20.254.117
at-vie-sw11044-1.bmaa.local;172.20.254.43
at-vie-sw13025-1.bmaa.local;172.20.254.220
at-vie-sw25061.bmaa.local;172.20.254.119
