Name;IPv4 Address;;;;;;;;;;;;;;
SWUSEGVH11;10.108.128.53;;;;;;;;;;;;;;
SWUSEGVH13;10.108.128.68;;;;;;;;;;;;;;
SWUSEGVH21;10.108.128.78;;;;;;;;;;;;;;
SWUSEGVH22;10.108.128.79;;;;;;;;;;;;;;
SWUSEGVH31;10.108.128.57;;;;;;;;;;;;;;
SWUSEGVH32;10.108.128.56;;;;;;;;;;;;;;
SWUSEGVH33;10.108.128.69;;;;;;;;;;;;;;
SWUSKG1VH11;10.108.128.51;;;;;;;;;;;;;;
SWUSKG1VH12;10.108.128.52;;;;;;;;;;;;;;
SWUSKG1VH21;10.108.128.7;;;;;;;;;;;;;;
SWUSKG1VH22;10.108.128.8;;;;;;;;;;;;;;
SWUSOG1VH11;10.108.128.58;;;;;;;;;;;;;;
SWUSOG1VH12;10.108.128.70;;;;;;;;;;;;;;
SWUSOG1VH21;10.108.128.59;;;;;;;;;;;;;;
SWUSOG1VH31;10.108.128.60;;;;;;;;;;;;;;
SWUSOG1VH41;10.108.128.61;;;;;;;;;;;;;;
SWUSOG1VH42;10.108.128.73;;;;;;;;;;;;;;
SWUSOG1VH43;10.108.128.81;;;;;;;;;;;;;;
SWUSOG1VH51;10.108.128.65;;;;;;;;;;;;;;
SWUSOG2VH11;10.108.128.62;;;;;;;;;;;;;;
SWUSOG2VH12;10.108.128.71;;;;;;;;;;;;;;
SWUSOG2VH13;10.108.128.82;;;;;;;;;;;;;;
SWUSOG2VH21;10.108.128.63;;;;;;;;;;;;;;
SWUSOG2VH31;10.108.128.64;;;;;;;;;;;;;;
SWUSOG2VH32;10.108.128.75;;;;;;;;;;;;;;
SWUSOG2VH33;10.108.128.80;;;;;;;;;;;;;;
SWUSOG2VH61;10.108.128.74;;;;;;;;;;;;;;
SWUSOG3VH11;10.108.128.66;;;;;;;;;;;;;;
SWUSOG3VH12;10.108.128.76;;;;;;;;;;;;;;
SWUSOG3VH13;10.108.128.77;;;;;;;;;;;;;;
SWUSOG3VH41;10.108.128.72;;;;;;;;;;;;;;
SWUSOG4VH11;10.108.128.67;;;;;;;;;;;;;;
SWUSOG4VH12;10.108.128.130;;;;;;;;;;;;;;
SWUSOG5VH11;10.108.128.129;;;;;;;;;;;;;;
