"﻿""Logged At""",RADIUS Status,Identity,Failure Reason,Authentication Method,Endpoint ID,Authentication Protocol,Policy Set,Authorization Rule,Server,Network Device,Endpoint Profile,Device Type,Location,Network Device IP,Device Port,Event,Service Type,Credential Check,Identity Store,Identity Group,Session ID,MapLocation
2024-06-20 12:29:55.584,Pass,CC:48:3A:92:37:55,,mab,CC:48:3A:92:37:55,Lookup,LAN MAB Standort UM_RM,MAB_RM_Clients_vlan102_temp,SVHS3122,UMRM_Switches,Unknown,All Device Types#LAN_Switches,All Locations#UM_RM,10.208.111.19,GigabitEthernet1/0/12,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_RM_Clients_vlan102_temp,136FD00A0001011B359FFD89,
2024-06-20 11:45:43.257,Pass,00:1B:00:34:B5:05,,mab,00:1B:00:34:B5:05,Lookup,LAN MAB Standort AO,MAB_WinClients67_temp,SVHS3122,AO_Switches,Unknown,All Device Types#LAN_Switches,All Locations#AO,10.108.66.61,GigabitEthernet1/0/40,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_AO_WinClients67_temp,3D426C0A000000E59AF69B4B,
2024-06-20 11:10:24.509,Pass,2C:F0:5D:10:C7:38,,mab,2C:F0:5D:10:C7:38,Lookup,LAN MAB Standort RT,MAB_RT_WinClients243,SVRT3120,RT_Switches,Unknown,All Device Types#LAN_Switches,All Locations#RT,10.108.240.52,GigabitEthernet1/0/31,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_RT_WinClients243_temp,34F06C0A000025053030C4D4,
2024-06-20 11:04:56.397,Pass,00:D8:61:47:6A:5A,,mab,00:D8:61:47:6A:5A,Lookup,LAN MAB Standort UO,MAB_WinClients126_temp,SVHS3122,UO_Switches,Unknown,All Device Types#LAN_Switches,All Locations#UO,10.108.131.38,GigabitEthernet1/0/26,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_UO_WinClients126_temp,26836C0A000B7EE43021A0FA,
2024-06-20 10:42:52.263,Pass,00:D8:61:47:69:A6,,mab,00:D8:61:47:69:A6,Lookup,LAN MAB Standort UO,MAB_WinClients126_temp,SVHS3122,UO_Switches,Unknown,All Device Types#LAN_Switches,All Locations#UO,10.108.131.38,GigabitEthernet1/0/31,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_UO_WinClients126_temp,26836C0A000B7F11353E0855,
2024-06-20 10:42:24.845,Pass,00:D8:61:49:E9:09,,mab,00:D8:61:49:E9:09,Lookup,LAN MAB Standort RT,MAB_RT_WinClients243,SVRT3120,RT_Switches,Unknown,All Device Types#LAN_Switches,All Locations#RT,10.108.240.56,GigabitEthernet1/0/27,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_RT_WinClients243_temp,38F06C0A000000F2353D8DC1,
2024-06-20 10:38:17.948,Pass,00:D8:61:47:6F:90,,mab,00:D8:61:47:6F:90,Lookup,LAN MAB Standort AS,MAB_WinClients_temp,SVHS3122,AS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#AS,10.108.63.2,GigabitEthernet1/0/12,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_AS_WinClients51_temp,023F6C0A00005A0C849D099F,
2024-06-20 10:28:29.208,Pass,00:01:29:6B:57:43,,mab,00:01:29:6B:57:43,Lookup,LAN MAB Standort US_LS,MAB_WinClients150_temp,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.64,GigabitEthernet1/0/2,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_US_WinClients150_temp,40806C0A000069313002264C,
2024-06-20 10:25:56.644,Pass,00:01:29:6B:52:71,,mab,00:01:29:6B:52:71,Lookup,LAN MAB Standort US_LS,MAB_WinClients150_temp,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.73,GigabitEthernet1/0/12,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_US_WinClients150_temp,49806C0A0000F3772EEAB43F,
2024-06-20 10:25:30.076,Pass,00:01:29:6B:4F:C2,,mab,00:01:29:6B:4F:C2,Lookup,LAN MAB Standort US_LS,MAB_WinClients150_temp,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.64,GigabitEthernet1/0/6,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_US_WinClients150_temp,40806C0A000069303001FF04,
2024-06-20 09:39:24.587,Pass,74:78:27:4B:00:02,,mab,74:78:27:4B:00:02,Lookup,LAN MAB Standort US_LS,MAB_WinClients146_temp,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.71,GigabitEthernet1/0/25,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_LS_WinClients146_temp,47806C0A000313C33503E33E,
2024-06-20 09:31:41.624,Pass,6C:4B:90:E3:8B:8C,,mab,6C:4B:90:E3:8B:8C,Lookup,LAN MAB Standort US_LS,MAB_WinClients150_temp,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.8,GigabitEthernet1/0/28,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_US_WinClients150_temp,08806C0A00013E5034FCD0BD,
2024-06-20 08:34:09.515,Pass,00:0A:B3:27:42:87,,mab,00:0A:B3:27:42:87,Lookup,LAN MAB Standort UM_RM,MAB_RM_Clients_vlan102_temp,SVHS3122,UMRM_Switches,Unknown,All Device Types#LAN_Switches,All Locations#UM_RM,10.208.111.18,GigabitEthernet1/0/21,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_RM_Clients_vlan102_temp,126FD00A0000957334C822A7,
2024-06-20 08:13:11.014,Pass,28:00:AF:D8:C4:6C,,mab,28:00:AF:D8:C4:6C,Lookup,LAN MAB Standort US_LS,MAB_WinClients150_temp,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.71,GigabitEthernet1/0/24,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_US_WinClients150_temp,47806C0A000313BF34B4F1F9,
2024-06-20 08:03:09.681,Pass,28:00:AF:D8:CD:08,,mab,28:00:AF:D8:CD:08,Lookup,LAN MAB Standort US_LS,MAB_WinClients150_temp,SVUS3120,USLS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#US_LS,10.108.128.71,GigabitEthernet1/0/22,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_US_WinClients150_temp,47806C0A000313BD34ABC505,
2024-06-20 07:45:56.243,Pass,24:BE:05:17:77:AA,,mab,24:BE:05:17:77:AA,Lookup,LAN MAB Standort UO,MAB_WinClients126_temp,SVHS3122,UO_Switches,Unknown,All Device Types#LAN_Switches,All Locations#UO,10.108.131.22,GigabitEthernet1/0/31,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_UO_WinClients126_temp,16836C0A000004A30B67F93E,
2024-06-20 07:34:23.232,Pass,DC:CD:2F:2C:01:C9,,mab,DC:CD:2F:2C:01:C9,Lookup,LAN MAB Standort AS,MAB_WinClients_temp,SVHS3122,AS_Switches,Unknown,All Device Types#LAN_Switches,All Locations#AS,10.108.63.1,GigabitEthernet1/0/33,Authentication succeeded,Call Check,Lookup,Internal Endpoints,MAB_AS_WinClients51_temp,124ED00A0000400734916834,
