"Logged At","RADIUS Status","Identity","Failure Reason","Authentication Method","Endpoint ID","Authentication Protocol","Policy Set","Authorization Rule","Server","Network Device","Endpoint Profile","Device Type","Location","Network Device IP","Device Port","Event","Service Type","Credential Check","Identity Store","Identity Group","Session ID","MapLocation"
"2024-06-20 12:29:56.02","Pass","LTRMARO1.auva1.global",,"dot1x","CC:48:3A:92:37:55","EAP-TLS","LAN 802.1X Standort UM_RM","Domain Computer_RM_102","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Framed","x509_PKI",,"MAB_RM_Clients_vlan102_temp","136FD00A0001011B359FFD89",
"2024-06-20 12:29:55.584","Pass","CC:48:3A:92:37:55",,"mab","CC:48:3A:92:37:55","Lookup","LAN MAB Standort UM_RM","MAB_RM_Clients_vlan102_temp","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Call Check","Lookup","Internal Endpoints","MAB_RM_Clients_vlan102_temp","136FD00A0001011B359FFD89",
"2024-06-20 12:29:04.143","Pass","LTRMARO1.auva1.global",,"dot1x","CC:48:3A:92:37:55","EAP-TLS","LAN 802.1X Standort UM_RM","Domain Computer_RM_102","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Framed","x509_PKI",,"MAB_RM_Clients_vlan102_temp","136FD00A0001011A359F32EA",
"2024-06-20 12:29:03.715","Pass","CC:48:3A:92:37:55",,"mab","CC:48:3A:92:37:55","Lookup","LAN MAB Standort UM_RM","MAB_RM_Clients_vlan102_temp","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Call Check","Lookup","Internal Endpoints","MAB_RM_Clients_vlan102_temp","136FD00A0001011A359F32EA",
"2024-06-20 12:26:59.187","Pass","LTRMARO1.auva1.global",,"dot1x","CC:48:3A:92:37:55","EAP-TLS","LAN 802.1X Standort UM_RM","Domain Computer_RM_102","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Framed","x509_PKI",,"MAB_RM_Clients_vlan102_temp","136FD00A00010119359D4AC4",
"2024-06-20 12:26:58.749","Pass","CC:48:3A:92:37:55",,"mab","CC:48:3A:92:37:55","Lookup","LAN MAB Standort UM_RM","MAB_RM_Clients_vlan102_temp","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Call Check","Lookup","Internal Endpoints","MAB_RM_Clients_vlan102_temp","136FD00A00010119359D4AC4",
"2024-06-20 12:25:04.124","Pass","LTRMARO1.auva1.global",,"dot1x","CC:48:3A:92:37:55","EAP-TLS","LAN 802.1X Standort UM_RM","Domain Computer_RM_102","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Framed","x509_PKI",,"MAB_RM_Clients_vlan102_temp","136FD00A00010118359B8957",
"2024-06-20 12:25:03.695","Pass","CC:48:3A:92:37:55",,"mab","CC:48:3A:92:37:55","Lookup","LAN MAB Standort UM_RM","MAB_RM_Clients_vlan102_temp","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Call Check","Lookup","Internal Endpoints","MAB_RM_Clients_vlan102_temp","136FD00A00010118359B8957",
"2024-06-20 12:20:04.112","Pass","LTRMARO1.auva1.global",,"dot1x","CC:48:3A:92:37:55","EAP-TLS","LAN 802.1X Standort UM_RM","Domain Computer_RM_102","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Framed","x509_PKI",,"MAB_RM_Clients_vlan102_temp","136FD00A000101173596F54D",
"2024-06-20 12:20:03.655","Pass","CC:48:3A:92:37:55",,"mab","CC:48:3A:92:37:55","Lookup","LAN MAB Standort UM_RM","MAB_RM_Clients_vlan102_temp","SVHS3122","UMRM_Switches","Unknown","All Device Types#LAN_Switches","All Locations#UM_RM","10.208.111.19","GigabitEthernet1/0/12","Authentication succeeded","Call Check","Lookup","Internal Endpoints","MAB_RM_Clients_vlan102_temp","136FD00A000101173596F54D",
